ParentMaterialNumber,SalesWeekNumber,SalesOrderQtyEaches,Base_Sales,Sales_Variance_Pct,CustomerCt,Base_CustomerCt,CustomerCt_Variance_Pct,Sales_Per_Customer,Base_Sales_Per_Customer,OrderSize_Variance_Pct
ATPRL1,41,2450.0,3702.625,-0.3383072819958813,30.0,18.5,0.6216216216216216,81.66666666666667,189.69540229885058,-0.5694852607022752
AUG24240,52,1017.0,1281.5,-0.20639875146312914,18.0,21.0,-0.14285714285714285,56.5,61.09134615384615,-0.07515542614307073
AUG24250,16,3531.0,2699.0,0.3082623193775472,100.0,106.0,-0.05660377358490566,35.31,25.457409879839787,0.3870224884096583
AUG30000,21,3206.0,3349.25,-0.04277076957527805,115.0,115.75,-0.0064794816414686825,27.878260869565217,28.58903260477341,-0.02486169242010375
AUG30000,53,3953.0,3349.25,0.18026423826229754,133.0,115.75,0.1490280777537797,29.721804511278197,28.58903260477341,0.039622603610436645
AUG40034,4,8779.0,9544.5,-0.0802032584210802,218.0,236.5,-0.07822410147991543,40.27064220183486,40.37012987012987,-0.0024643881160417986
AUG40068,46,5083.0,4958.5,0.02510839971765655,172.0,173.0,-0.005780346820809248,29.552325581395348,28.661849710982658,0.031068332274154554
AUG42534,11,20331.0,19121.0,0.06328120914178129,382.0,385.5,-0.009079118028534372,53.22251308900523,49.62285550767574,0.07254031523382799
AUG42568,22,11600.0,14486.5,-0.19925447830738963,299.0,365.5,-0.18194254445964433,38.79598662207358,39.676412196583755,-0.022190150917576767
AUG52500,50,6840.0,5513.0,0.24070379103936151,222.0,160.0,0.3875,30.81081081081081,33.43580433274856,-0.07850846044599892
AUG54200,32,24.0,40.666666666666664,-0.40983606557377045,2.0,3.3333333333333335,-0.4,12.0,12.133333333333333,-0.01098901098901095
AUG54500,39,2155.0,2056.3333333333335,0.047981844707407934,71.0,70.66666666666667,0.004716981132075405,30.35211267605634,28.896645795183804,0.0503680216447515
AUG55000,53,2581.0,3239.5,-0.20327210989350208,49.0,64.5,-0.24031007751937986,52.673469387755105,49.719712015888774,0.05940817539173211
AUG55501,36,1998.0,3834.0,-0.4788732394366197,68.0,82.25,-0.17325227963525835,29.38235294117647,45.93811082609498,-0.3603926584528606
AUG55501,52,3984.0,3834.0,0.03912363067292645,74.0,82.25,-0.10030395136778116,53.83783783783784,45.93811082609498,0.1719645599195048
AUG57501CS,45,128.0,794.0,-0.8387909319899244,11.0,14.5,-0.2413793103448276,11.636363636363637,47.91764069264069,-0.7571590865459538
AUG57501CS,53,301.0,794.0,-0.6209068010075567,12.0,14.5,-0.1724137931034483,25.083333333333332,47.91764069264069,-0.47653237991774305
AUG63000,44,400.0,145.0,1.7586206896551724,24.0,17.5,0.37142857142857144,16.666666666666668,8.575,0.9436345966958215
AUG63500,38,11009.0,13844.25,-0.20479621503512288,281.0,299.0,-0.06020066889632107,39.1779359430605,45.14468862082673,-0.13216953887712876
AUG63500,51,19553.0,13844.25,0.4123553099662315,327.0,299.0,0.09364548494983277,59.79510703363914,45.14468862082673,0.3245214190281001
AZPCMS2216IW,47,100.0,200.0,-0.5,1.0,2.0,-0.5,100.0,50.0,1.0
AZV1099024,40,18.0,36.5,-0.5068493150684932,3.0,3.5,-0.14285714285714285,6.0,9.625,-0.37662337662337664
B-D220145,18,1541.0,486.0,2.1707818930041154,7.0,5.0,0.4,220.14285714285714,94.33333333333334,1.3336698637051991
B-D303134,12,101975.0,68412.0,0.490601064140794,255.0,285.0,-0.10526315789473684,399.9019607843137,239.8115972367595,0.6675672294092655
B-D305060,24,421577.0,453044.5,-0.06945785678890264,350.0,363.5,-0.037138927097661624,1204.5057142857142,1254.2945466752112,-0.039694689354644354
B-D305062,43,116925.0,116886.25,0.0003315188912297212,188.0,181.75,0.0343878954607978,621.9414893617021,638.8150669257118,-0.026413869111155324
B-D305062,53,75646.0,116886.25,-0.3528237923622325,147.0,181.75,-0.19119669876203577,514.5986394557823,638.8150669257118,-0.19444818054733626
B-D305201,1,16514.0,,0.0,57.0,,0.0,289.719298245614,,0.0
B-D305211,15,143133.0,155059.25,-0.07691414733400297,349.0,344.0,0.014534883720930232,410.12320916905446,451.635020281834,-0.09191450894767836
B-D305211,47,181924.0,155059.25,0.17325473972046168,394.0,344.0,0.14534883720930233,461.73604060913704,451.635020281834,0.02236544969652642
B-D305217,1,35346.0,,0.0,176.0,,0.0,200.82954545454547,,0.0
B-D305903,9,3793.0,6761.5,-0.43902980107964207,24.0,24.0,0.0,158.04166666666666,276.542328042328,-0.42850822228387203
